,id,prediction
0,1103,2127.584647503036
1,1067,1212.184594036988
2,1406,2229.5368464623702
3,809,2215.537910139255
4,1184,5037.326769496718
5,461,1812.5916371308945
6,604,1216.0966335591525
7,266,2719.7634303694226
8,668,1456.978536742225
9,170,2709.4158943108037
10,943,1524.586127660648
11,807,1281.746723563649
12,1279,2455.5202276698114
13,966,2222.116731557128
14,119,568.6071103718846
15,626,2727.6635152500553
16,500,3139.769383678358
17,9,3479.569690833209
18,1386,3174.3232814046373
19,178,1333.6329583810798
20,165,2410.161340790973
21,1346,3233.2157767436597
22,420,657.5438679347039
23,1367,1106.5543390281514
24,867,2492.5159902129485
25,1121,1828.1480602908882
26,1304,399.4143268189582
27,1291,2450.0455906350358
28,13,3787.38446643201
29,327,1452.669992233658
30,1459,-678.5773248750279
31,1146,3580.1921379372466
32,1452,1176.8980498730439
33,981,4900.521315391305
34,1005,2244.922777105037
35,814,4724.299561339278
36,899,2636.1484889136204
37,307,262.2452183162309
38,1303,2710.3878938872763
39,1288,3090.2980460230706
40,1289,2736.8418313350326
41,1168,268.1189484821339
42,1532,2304.4908869118613
43,1367,2776.798875421287
44,740,1875.5999745568975
45,250,1402.0417437360943
46,823,-957.328733186218
47,1470,2507.7286773604624
48,380,3409.2782987013884
49,984,1904.9521084957473
50,65,815.5686753442228
51,613,1331.7356555642223
52,884,2615.7436063146984
53,514,1619.739140760033
54,1042,4425.764748176067
55,392,3370.3381376624943
56,149,2668.1917996678617
57,912,249.91490272565306
58,610,2896.0983497096363
59,349,1482.5003381389356
60,1066,1944.9826238128094
61,606,3144.181426155042
62,1530,3690.547764745708
63,816,1220.6750973068106
64,672,2361.4958546851763
65,213,2846.115347601673
66,159,2350.8095146033997
67,1363,4070.8395020648773
68,487,2613.7838289375136
69,1511,3501.871414678452
70,1515,3251.559133282329
71,257,3123.7687866225983
72,1213,2401.21294488426
73,61,4188.382056106386
74,1311,4080.428712687363
75,14,2781.242618744473
76,1023,472.9206059405219
77,228,2175.0487146285745
78,139,2531.4138014640653
79,153,1971.9513028442138
80,11,2055.509908463087
81,1072,2118.968874525743
82,1323,1518.379620236135
83,1004,2778.3761588427874
84,1175,2545.019267987396
85,1052,1419.3124121152564
86,956,3598.1089679209967
87,205,3601.1277946348623
88,851,621.6656302577057
89,190,2036.7217219139843
90,671,2723.957610303343
91,1107,4911.66453151337
92,779,3116.3381877993847
93,985,1962.2199591237036
94,1478,1660.2420912107623
95,1223,764.337957271669
96,682,1939.2584014298886
97,146,2762.401797775558
98,1230,2941.583360886499
99,1484,1023.076857389246
100,940,2903.6566190637045
101,575,1226.5104741197852
102,1221,2455.941999680445
103,398,2021.340654803305
104,3,1776.1134147528587
105,1278,5302.837392973459
106,1115,2692.590294143672
107,625,1243.4637196247254
108,504,2178.0414936305074
109,969,4436.638777628521
110,211,1011.6203053642516
111,744,2868.7591541848437
112,710,-406.44061288919374
113,332,4976.534661502163
114,702,982.5621471379077
115,114,3133.573161947647
116,883,830.1807451335749
117,1123,1247.600092329411
118,1204,1184.2932083834144
119,603,1856.474754153564
120,908,4240.864096539512
121,1409,187.57043391287925
122,695,992.3188840304442
123,275,1666.9515017269136
124,180,3804.967507827331
125,1230,4438.889679761005
126,554,1965.871075999698
127,1074,1005.4677568245156
128,620,2217.9140206262014
129,620,1494.3984629542297
130,1105,3306.7763751657017
131,327,1609.3649039674451
132,1386,1376.1110540475188
133,1201,-46.36341555691297
134,85,1464.61989001763
135,931,1126.5898724329286
136,783,1099.9851262980624
137,859,1425.0415769360975
138,267,29.437769256045158
139,1026,2058.888702147656
140,45,1502.8212926699866
141,801,408.4797191953203
142,131,1955.9723775108419
143,1525,1641.6394319686156
144,349,1079.6950435661597
145,1269,2015.8139076161792
146,1306,2024.9122649845917
147,507,4312.186593206829
148,1272,1444.4716323451444
149,1284,2314.152544585632
150,603,2305.425208030904
151,623,3896.016589785065
152,1329,1288.004117830847
153,121,3665.6738526225513
154,1321,2885.8716722461345
155,878,1657.687965042041
156,717,1263.1631884247367
157,888,1303.3623498761694
158,108,1300.1046068737664
159,83,1207.575280537933
160,1010,2112.5340914060694
161,1394,2451.485112202777
162,430,3416.074387340374
163,875,2833.543563427485
164,1040,1598.852786642838
165,1240,122.72621263040901
166,879,2800.1632917207285
167,564,3007.294700392544
168,898,2443.803718686238
169,553,1437.4215058183377
170,290,3012.3820065282603
171,1327,2216.2177242419025
172,1426,-11.40356945004578
173,646,-913.464959575344
174,1026,2031.7177013318437
175,430,4073.5780608962364
176,869,3252.3297325648496
177,843,4210.786809426747
178,732,2018.2667583368543
179,48,5123.096849213587
180,239,1294.7583837990837
181,385,3525.7850741768802
182,406,3480.330143581799
183,1294,552.676824562031
184,1388,147.71592721202023
185,1396,2179.478176203523
186,373,2725.231504871876
187,361,3586.8380469684002
188,87,3903.8760348125356
189,1318,2255.750223619964
190,637,1580.2048746308988
191,954,4204.639372709607
192,1026,2263.7437838788933
193,496,2429.205322423711
194,866,422.9897968934565
195,1276,3889.5344626524343
196,770,2167.1169013612857
197,248,2659.363871298376
198,1246,2664.119312585693
199,1234,-345.4192153484114
200,896,3315.128251964236
201,20,2249.0334616507066
202,1043,2720.582800939355
203,591,2431.8272720485716
204,186,2421.463219155637
205,664,1841.1423764450842
206,623,4223.723473668293
207,695,1072.2008842952623
208,577,2762.464271289927
209,353,1803.8522767365398
210,465,3117.022099018214
211,1280,-663.5175568053223
212,814,3767.7826981154735
213,198,1142.7853301970513
214,847,3536.515702488339
215,1393,1809.7935431257079
216,641,475.34600603291665
217,951,5296.814950089771
218,591,2356.0986359458216
219,1540,3778.939567479187
220,84,1127.0944556501222
221,1089,1930.780984392923
222,669,2725.8761292511213
223,860,2465.4252294359926
224,1319,1867.485655646498
225,241,881.6978263650767
226,1132,3988.019209092992
227,1261,2451.876804366452
228,818,2806.0557353190247
229,270,1298.9303850970514
230,1189,3838.7373439428798
231,159,1008.4956841222925
232,316,1016.2107209638411
233,1072,1695.1278116436365
234,1034,1210.3873542948154
235,907,2115.9322667647552
236,1506,1794.0816885329818
237,1361,1841.6833009502047
238,401,2676.146715802273
239,411,2555.4761041212455
240,280,-942.2654193230424
241,1410,3111.052152331234
242,509,593.3165511879902
243,1085,1354.4239908711147
244,1072,173.1996635932951
245,1168,1605.5832438315797
246,27,516.3118391084831
247,1280,952.1482090715012
248,459,-522.6984082206695
249,689,3826.995749887055
250,991,3805.6861257501882
251,1111,1163.6914473993797
252,451,46.53551966098121
253,1103,1442.4031413714079
254,265,3211.7311561097927
255,1458,1129.3928630056548
256,61,3440.6793880043556
257,269,3883.366629628436
258,1164,1163.4276482870478
259,1181,521.1184566114093
260,487,2602.850668456496
261,1487,2589.9033185613293
262,1179,2914.900571872197
263,243,3712.8045032232035
264,958,3393.9422133640596
265,1491,2676.7563340536085
266,1498,3280.0448382440195
267,1528,2651.87364186859
268,800,2057.49032296841
269,424,3814.3807942584285
270,557,3138.5878337597164
271,1282,1832.698078155226
272,1518,3641.1834565542235
273,1481,2120.244356538434
274,134,320.14178398003924
275,492,797.3693856585564
276,177,3028.3652069092045
277,746,938.2930989802157
278,1154,1649.0877908184443
279,914,2620.141163168046
280,64,2957.4575475599518
281,170,3418.4733180487124
282,1306,2145.360713457078
283,399,2761.6866484794687
284,406,5297.29772867865
285,969,4316.840397120401
286,1191,862.3040941785061
287,499,1720.03430243076
288,16,650.9790723910141
289,625,927.9274945887723
290,447,321.5190925854754
291,143,1565.1691347935307
292,1444,1679.6018083960166
293,695,2776.680963359547
294,962,3746.8902100054315
295,1262,2781.688738574518
296,996,2086.2094700662387
297,1387,2663.127440526491
298,836,738.7182255344055
299,110,1107.180039963289
300,1333,2278.4252443509727
301,25,2593.366337503489
302,1314,3546.7087546459875
303,433,1184.8113003382082
304,630,1104.6163194598016
305,628,1966.143029282934
306,1492,4092.9548825999523
307,1441,1422.8533485708008
308,867,2594.122924272519
309,211,3925.5984381798085
310,472,1054.0445794010243
311,1511,3232.1972120801997
312,1271,2506.4372827507827
313,1058,1753.355771895684
314,1288,1420.7168254476105
315,644,1748.2497558907194
316,188,3378.768805793638
317,572,2764.5580502847038
318,761,3748.249925645449
319,1071,2401.4953758088845
320,902,1997.215590452745
321,1478,2317.445616249083
322,1373,2491.080184830997
323,237,3091.7854098874773
324,375,2792.8278423740726
325,725,3387.618632844213
326,294,-204.54295868457802
327,1210,2099.1502280205573
328,1234,488.78423817484645
329,309,1030.695491227883
330,1528,1668.453130175761
331,764,3016.0933498204654
332,1047,3914.643858178619
333,1172,-556.5252711852972
334,1422,1372.8956443267502
335,822,1619.5482568349667
336,901,733.9794796826159
337,743,1539.2277688047793
338,1269,3450.7624003480864
339,373,2801.565513054313
340,666,3382.803506026076
341,126,215.2693048641081
342,658,3052.3826071991803
343,112,3727.477732855578
344,1052,2132.574551704705
345,66,3137.652989646964
346,146,2050.1196646929398
347,384,4870.883566000935
348,1129,2237.1623726725497
349,1150,1927.154576029629
350,1256,2886.7221135510013
351,717,572.7674149043683
352,578,286.99141134658794
353,126,126.71005555013699
354,825,3040.8128426149283
355,1274,3413.6636184385584
356,1297,3781.419077581921
